icao24,snapshot_time,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category,latitude_mean_10s,latitude_std_10s,latitude_min_10s,latitude_max_10s,latitude_median_10s,latitude_count_10s,longitude_mean_10s,longitude_std_10s,longitude_min_10s,longitude_max_10s,longitude_median_10s,longitude_count_10s,velocity_mean_10s,velocity_std_10s,velocity_min_10s,velocity_max_10s,velocity_median_10s,velocity_count_10s,geo_altitude_mean_10s,geo_altitude_std_10s,geo_altitude_min_10s,geo_altitude_max_10s,geo_altitude_median_10s,geo_altitude_count_10s,vertical_rate_mean_10s,vertical_rate_std_10s,vertical_rate_min_10s,vertical_rate_max_10s,vertical_rate_median_10s,vertical_rate_count_10s,true_track_mean_10s,true_track_std_10s,true_track_min_10s,true_track_max_10s,true_track_median_10s,true_track_count_10s,velocity_mean_1min,velocity_std_1min,velocity_min_1min,velocity_max_1min,velocity_median_1min,velocity_count_1min,geo_altitude_mean_1min,geo_altitude_std_1min,geo_altitude_min_1min,geo_altitude_max_1min,geo_altitude_median_1min,geo_altitude_count_1min,vertical_rate_mean_1min,vertical_rate_std_1min,vertical_rate_min_1min,vertical_rate_max_1min,vertical_rate_median_1min,vertical_rate_count_1min
a04dfa,2026-02-16 21:53:39+00:00,DAL969,United States,2026-02-16 21:53:35+00:00,2026-02-16 21:53:35+00:00,-77.3319,39.1353,9144.0,False,214.05,229.0,0.0,,9128.76,1665,False,0,0,38.911492499999994,0.1203064897699619,38.6534,39.1353,38.9048,40,-77.3192325,0.22368692909957794,-77.6115,-77.018,-77.37625,40,80.6885,76.06958624534816,0.0,227.72,72.515,40,3259.2645,4099.028282396563,60.96,13106.4,1047.75,40,1.1135,5.66950572168378,-5.85,20.48,0.0,40,197.2645,116.61133115435112,0.0,355.79,195.10500000000002,40,79.80125000000001,74.45762003110363,0.0,227.72,71.69,80,3070.76475,3954.8093628912884,60.96,13106.4,1047.75,80,1.405875,5.770776376205997,-5.85,20.48,0.0,80
a04dfa,2026-02-16 21:54:09+00:00,DAL969,United States,2026-02-16 21:54:05+00:00,2026-02-16 21:54:05+00:00,-77.388,39.0974,9144.0,False,214.05,229.0,0.0,,9128.76,1665,False,0,0,38.914113953488375,0.13187270662667677,38.6545,39.1442,38.9106,43,-77.30213488372092,0.23747428821595984,-77.611,-76.8535,-77.3758,43,89.49511627906976,77.24999239858471,0.0,230.16,79.51,43,3463.201395348837,4196.755373499628,22.86,13106.4,1120.14,43,2.071395348837209,7.321742760727363,-5.85,26.33,0.0,43,212.45302325581395,118.16182705923109,0.0,359.39,225.1,43,88.36456790123457,75.57389469997861,0.0,230.16,80.15,81,3452.4244444444444,4145.668821991211,22.86,13114.02,1120.14,81,2.34358024691358,7.01350007283132,-6.5,26.33,0.0,81
a04dfa,2026-02-16 21:54:39+00:00,DAL969,United States,2026-02-16 21:54:35+00:00,2026-02-16 21:54:35+00:00,-77.4437,39.0596,9144.0,False,214.0,228.8,0.0,,9128.76,1665,False,0,0,38.921186842105264,0.1309917228064909,38.652,39.1057,38.93105,38,-77.30889210526315,0.23444836621839546,-77.6537,-76.8703,-77.38919999999999,38,87.08526315789473,74.6448089372612,0.0,216.44,81.6,38,3440.2294736842105,4143.308559162198,60.96,13114.02,1062.99,38,2.651578947368421,6.731956274173403,-6.5,18.53,0.0,38,221.13894736842107,112.37214514401435,0.0,359.39,227.255,38,88.36456790123457,75.57389469997861,0.0,230.16,80.15,81,3452.4244444444444,4145.668821991211,22.86,13114.02,1120.14,81,2.34358024691358,7.01350007283132,-6.5,26.33,0.0,81
a04dfa,2026-02-16 21:55:09+00:00,DAL969,United States,2026-02-16 21:55:05+00:00,2026-02-16 21:55:05+00:00,-77.499,39.0219,9144.0,False,214.0,228.8,0.0,,9136.38,1665,False,0,0,38.92125142857143,0.12494750043736817,38.6756,39.135,38.9441,35,-77.29282571428571,0.22503895785979286,-77.5641,-76.8703,-77.3538,35,80.11571428571429,74.89976719062673,0.0,216.08,53.29,35,3485.1702857142855,4257.790726648991,60.96,13121.64,1143.0,35,1.736857142857143,6.278798016962732,-6.5,19.51,0.0,35,206.33085714285713,106.83684571431746,0.0,359.67,225.1,35,81.0213888888889,74.97548450605076,0.0,216.08,57.26,72,3600.45,4345.026688714934,60.96,13121.64,1123.95,72,1.7877777777777777,6.525086632034518,-7.15,19.51,0.0,72
a04dfa,2026-02-16 21:55:39+00:00,DAL969,United States,2026-02-16 21:55:35+00:00,2026-02-16 21:55:35+00:00,-77.555,38.9839,9144.0,False,214.16,229.38,-0.65,,9136.38,1665,False,0,0,38.924575675675676,0.12494284783542053,38.6559,39.1196,38.946,37,-77.2983054054054,0.24293594485646286,-77.6519,-76.8433,-77.3526,37,81.87810810810811,76.06994825078348,0.0,215.35,61.23,37,3709.498378378378,4481.88806112974,60.96,13121.64,1104.9,37,1.8359459459459457,6.836139041666502,-7.15,19.51,0.0,37,197.23216216216215,117.10534853842633,0.0,356.21,225.0,37,81.0213888888889,74.97548450605076,0.0,216.08,57.26,72,3600.45,4345.026688714934,60.96,13121.64,1123.95,72,1.7877777777777777,6.525086632034518,-7.15,19.51,0.0,72
a04dfa,2026-02-16 21:56:09+00:00,DAL969,United States,2026-02-16 21:56:05+00:00,2026-02-16 21:56:05+00:00,-77.6117,38.9462,9166.86,False,214.61,229.67,-0.65,,9159.24,1665,False,0,0,38.92375,0.11472606438157186,38.6792,39.0928,38.9443,34,-77.29110882352941,0.24555134545165858,-77.6117,-76.8705,-77.3366,34,77.1064705882353,72.88986943295791,0.0,214.99,54.83,34,3724.1629411764707,4629.125743582055,7.62,13121.64,1013.4599999999999,34,1.816470588235294,6.537555322138226,-5.85,19.83,0.0,34,212.97470588235296,117.28008653814904,0.0,359.57,225.20499999999998,34,75.4689393939394,71.64352474103536,0.0,216.57,54.06,66,3709.3236363636365,4606.960831166293,7.62,13129.26,1013.4599999999999,66,1.595909090909091,6.283116810401257,-5.85,19.83,0.0,66
a07bef,2026-02-16 21:52:09+00:00,RPA4375,United States,2026-02-16 21:52:05+00:00,2026-02-16 21:52:05+00:00,-77.6458,38.9799,2941.32,False,163.08,112.44,-7.48,,2956.56,6630,False,0,0,38.92171052631579,0.1167160467197105,38.6631,39.0941,38.938900000000004,38,-77.29611315789474,0.25348424885342696,-77.6551,-76.8895,-77.3474,38,85.6971052631579,75.65455367255844,0.0,226.26,72.13,38,3078.27947368421,4076.328120433579,7.62,13098.78,1028.7,38,0.18789473684210523,5.438164017433834,-10.08,15.93,-0.33,38,217.38763157894735,110.510682532045,0.0,355.55,225.05,38,84.89898734177216,75.13605847778257,0.0,226.99,73.26,79,3059.2853164556964,3990.750310368946,7.62,13106.4,944.88,79,0.6992405063291139,5.871567687430827,-10.08,19.18,-0.33,79
a07bef,2026-02-16 21:52:39+00:00,RPA4375,United States,2026-02-16 21:52:35+00:00,2026-02-16 21:52:35+00:00,-77.5958,38.9626,2796.54,False,158.69,113.91,-5.2,,2804.16,6630,False,0,0,38.915982926829265,0.12423385589773696,38.658,39.1411,38.9441,41,-77.30205853658536,0.24353853799307296,-77.6323,-76.8971,-77.3605,41,84.15926829268294,75.58489642085394,0.0,226.99,73.26,41,3041.680975609756,3960.428531505022,60.96,13106.4,944.88,41,1.1731707317073172,6.276353813729908,-8.78,19.18,0.0,41,203.95658536585364,110.50851421066515,0.0,355.8,208.85,41,84.89898734177216,75.13605847778257,0.0,226.99,73.26,79,3059.2853164556964,3990.750310368946,7.62,13106.4,944.88,79,0.6992405063291139,5.871567687430827,-10.08,19.18,-0.33,79
a07bef,2026-02-16 21:53:09+00:00,RPA4375,United States,2026-02-16 21:53:05+00:00,2026-02-16 21:53:05+00:00,-77.5458,38.9452,2651.76,False,154.98,114.1,-4.88,,2667.0,6630,False,0,0,38.909425,0.1156003299391976,38.6658,39.1177,38.92275,40,-77.320555,0.23584629278518057,-77.6562,-76.9336,-77.39675,40,78.914,73.76875931081129,0.0,227.72,71.69,40,2882.2650000000003,3848.006465733014,60.96,13106.4,1047.75,40,1.6982500000000003,5.92781314262234,-5.85,17.23,0.0,40,200.2185,115.26318031424364,0.0,355.75,201.56,40,79.80125000000001,74.45762003110363,0.0,227.72,71.69,80,3070.76475,3954.8093628912884,60.96,13106.4,1047.75,80,1.405875,5.770776376205997,-5.85,20.48,0.0,80
a07bef,2026-02-16 21:53:39+00:00,RPA4375,United States,2026-02-16 21:53:35+00:00,2026-02-16 21:53:35+00:00,-77.4977,38.9283,2506.98,False,154.04,114.25,-4.88,,2506.98,6630,False,0,0,38.911492499999994,0.1203064897699619,38.6534,39.1353,38.9048,40,-77.3192325,0.22368692909957794,-77.6115,-77.018,-77.37625,40,80.6885,76.06958624534816,0.0,227.72,72.515,40,3259.2645,4099.028282396563,60.96,13106.4,1047.75,40,1.1135,5.66950572168378,-5.85,20.48,0.0,40,197.2645,116.61133115435112,0.0,355.79,195.10500000000002,40,79.80125000000001,74.45762003110363,0.0,227.72,71.69,80,3070.76475,3954.8093628912884,60.96,13106.4,1047.75,80,1.405875,5.770776376205997,-5.85,20.48,0.0,80
